criminal_id,name,age,gender,occupation,gang,previous_cases,risk_score,phone,district,police_station
CR00660,Zarna Apte,22,Male,Business,Cyber Ring,13,100,+915662128671,Kolar,Kolar Rural
CR00661,Samuel De,36,Female,Doctor,East Crew,7,100,+914672994938,Dakshina Kannada,Kankanady
CR00662,Anya Jaggi,65,Female,Mechanic,Highway Gang,8,100,+912716938597,Shivamogga,Shivamogga Rural
CR00663,Turvi Baral,60,Female,Unemployed,None,5,62,1475469263,Bengaluru Urban,Indiranagar
CR00664,Rachana Shankar,24,Male,Electrician,South Syndicate,6,89,02916032484,Dharwad,Dharwad Town
CR00665,Teerth Tak,24,Female,Doctor,Highway Gang,0,44,08151185672,Kalaburagi,Kalaburagi Town
CR00666,Sarthak Toor,33,Female,Electrician,Highway Gang,2,60,+917017656360,Chitradurga,Chitradurga Town
CR00667,Zashil Contractor,19,Male,Police,Cyber Ring,4,83,2577711837,Udupi,Udupi Town
CR00668,Urishilla Mallick,35,Female,Business,Highway Gang,10,100,+912091241862,Hassan,Hassan East
CR00669,Advay Mahajan,58,Female,Software Engineer,Cyber Ring,14,100,+917523083708,Gadag,Gadag East
CR00670,Madhavi Morar,41,Female,Teacher,None,7,80,00900633533,Hassan,Hassan Rural
CR00671,Amol Sama,26,Female,Teacher,None,9,100,+910531312206,Bagalkot,Bagalkot East
CR00672,Eta Naidu,37,Male,Mechanic,Highway Gang,0,49,3938661331,Yadgir,Yadgir Rural
CR00673,Ekiya Ghose,30,Female,Labour,None,7,89,+916506373149,Kodagu,Kodagu Rural
CR00674,Caleb Bhavsar,65,Female,Mechanic,South Syndicate,12,100,+916497189241,Bidar,Bidar East
CR00675,Lipika Deol,33,Female,Teacher,None,8,92,02571509976,Gadag,Gadag East
CR00676,Yahvi Arya,29,Male,Teacher,South Syndicate,13,100,+910914363910,Uttara Kannada,Uttara Kannada Town
CR00677,Kavya Tara,62,Female,Student,Cyber Ring,14,100,03263039752,Hassan,Hassan Rural
CR00678,Eesha Baral,19,Male,Farmer,South Syndicate,0,49,6403553380,Ballari,Ballari East
CR00679,Tristan Raj,64,Male,Student,South Syndicate,8,100,5270171302,Raichur,Raichur Rural
CR00680,Jeremiah Chand,39,Female,Teacher,None,4,67,+919833816742,Haveri,Haveri Town
CR00681,Yash Samra,39,Male,Business,Highway Gang,11,100,+919344973471,Raichur,Raichur Town
CR00682,Mitali Purohit,48,Male,Student,Highway Gang,8,100,+917768962706,Belagavi,Market
CR00683,Fiyaz Mital,33,Female,Electrician,None,12,100,8282467474,Bengaluru Rural,Bengaluru Rural East
CR00684,Vasana Bora,24,Male,Electrician,South Syndicate,1,60,02732300857,Hassan,Hassan East
CR00685,Ojasvi Rana,64,Male,Unemployed,East Crew,9,100,5674916016,Bidar,Bidar East
CR00686,Rishi Sarin,30,Female,Driver,Highway Gang,8,100,05875066337,Mandya,Mandya Rural
CR00687,Janaki Bala,38,Male,Business,South Syndicate,3,72,2497243992,Mandya,Mandya Rural
CR00688,Jackson Chanda,18,Male,Doctor,Highway Gang,3,79,6691836264,Tumakuru,Tumakuru Town
CR00689,Xiti Walia,33,Male,Electrician,East Crew,4,74,6946119524,Shivamogga,Shivamogga Town
CR00690,Mitali Morar,59,Male,Unemployed,None,10,100,+912701168646,Ballari,Ballari Rural
CR00691,Patrick Prasad,53,Female,Electrician,Highway Gang,4,78,+912372817932,Chikkaballapur,Chikkaballapur Rural
CR00692,Daniel Goswami,26,Female,Driver,Highway Gang,0,55,+914679121416,Davanagere,Davanagere East
CR00693,Aradhana Bhatt,62,Female,Student,Cyber Ring,14,100,00937710040,Chitradurga,Chitradurga East
CR00694,Gunbir Kakar,35,Male,Farmer,East Crew,11,100,0698477596,Ramanagara,Ramanagara Rural
CR00695,Kamala Oza,52,Female,Electrician,East Crew,14,100,03566905510,Udupi,Udupi Rural
CR00696,Neelima Dewan,57,Female,Doctor,South Syndicate,12,100,+919184357978,Vijayapura,Vijayapura Town
CR00697,Raghav Aggarwal,30,Female,Labour,None,10,100,5050573976,Mysuru,Devaraja
CR00698,Ijaya Sangha,38,Male,Farmer,East Crew,9,100,01649328980,Gadag,Gadag East
CR00699,Widisha Chahal,30,Male,Electrician,South Syndicate,1,54,08727178333,Bidar,Bidar Town
CR00700,Gaurav Cherian,42,Female,Labour,None,3,52,00256434712,Kolar,Kolar East
CR00701,Gautam Natarajan,63,Male,Driver,East Crew,1,54,+919915668633,Chikkaballapur,Chikkaballapur East
CR00702,Jack Mannan,21,Female,Labour,None,15,100,+911159319525,Hassan,Hassan East
CR00703,Aarav Mukhopadhyay,35,Male,Unemployed,None,11,100,+919836655289,Udupi,Udupi East
CR00704,Hredhaan Rana,51,Male,Farmer,None,9,99,+918752437729,Yadgir,Yadgir Town
CR00705,Madhav Banerjee,60,Male,Doctor,South Syndicate,12,100,5481497374,Chamarajanagar,Chamarajanagar East
CR00706,Daniel Nath,54,Female,Police,None,13,100,+913302764208,Shivamogga,Shivamogga East
CR00707,Geetika Sami,53,Female,Labour,None,13,100,7566184438,Bidar,Bidar Town
CR00708,Gunbir Deep,40,Female,Labour,Cyber Ring,5,90,09047292774,Koppal,Koppal Rural
CR00709,Shaurya Kamdar,45,Female,Doctor,Highway Gang,11,100,3059126620,Shivamogga,Shivamogga East
CR00710,Ishani Som,65,Female,Software Engineer,Highway Gang,6,100,+910185962630,Shivamogga,Shivamogga East
CR00711,Wridesh Ranganathan,20,Female,Doctor,Highway Gang,14,100,04926176475,Bagalkot,Bagalkot East
CR00712,Jagdish Dada,32,Male,Software Engineer,East Crew,4,72,+911783099974,Bagalkot,Bagalkot Rural
CR00713,Pratyush Rajagopalan,54,Male,Farmer,Cyber Ring,8,100,06492151826,Kalaburagi,Kalaburagi East
CR00714,Meera Yadav,34,Female,Doctor,East Crew,14,100,7189813129,Bengaluru Urban,Electronic City
CR00715,Abdul Sekhon,23,Female,Doctor,East Crew,7,100,01029321840,Tumakuru,Tumakuru Rural
CR00716,Jeet Toor,29,Female,Unemployed,East Crew,2,59,05826034084,Tumakuru,Tumakuru Rural
CR00717,Logan Swaminathan,42,Male,Driver,None,9,100,5859883103,Ramanagara,Ramanagara East
CR00718,Raghav Dhar,32,Male,Police,Highway Gang,11,100,03298395429,Gadag,Gadag Town
CR00719,Falan Kumer,38,Male,Software Engineer,East Crew,1,55,06267146283,Kalaburagi,Kalaburagi Town
CR00720,Amruta Hans,46,Male,Student,None,4,65,5989262566,Mysuru,Devaraja
CR00721,Yug Brahmbhatt,39,Male,Electrician,Highway Gang,9,100,01818615155,Bengaluru Urban,Electronic City
CR00722,Madhav Kara,50,Female,Unemployed,East Crew,12,100,00163611284,Belagavi,Tilakwadi
CR00723,Girish Wadhwa,49,Female,Police,Highway Gang,4,78,09484910256,Kodagu,Kodagu Town
CR00724,Hemani Wali,45,Female,Police,South Syndicate,7,98,9679240822,Belagavi,Tilakwadi
CR00725,Kritika Loke,40,Male,Software Engineer,Highway Gang,3,75,+915396727578,Gadag,Gadag Rural
CR00726,Anya Sangha,57,Female,Doctor,East Crew,0,44,3414651113,Bidar,Bidar Rural
CR00727,Noah Bhandari,30,Female,Business,None,14,100,+914870682778,Vijayanagara,Vijayanagara Town
CR00728,Nidra Atwal,27,Female,Driver,None,3,54,3068538909,Chikkaballapur,Chikkaballapur East
CR00729,Om Viswanathan,19,Female,Student,East Crew,3,70,+912152850676,Hassan,Hassan Rural
CR00730,Kashvi Chowdhury,53,Female,Doctor,Cyber Ring,6,92,03814474430,Kalaburagi,Kalaburagi Rural
CR00731,Teerth Mody,51,Male,Teacher,Highway Gang,0,45,8079705097,Kolar,Kolar East
CR00732,Chanchal Pandya,57,Female,Driver,East Crew,1,62,+910526501673,Chamarajanagar,Chamarajanagar East
CR00733,Yoshita Dube,35,Female,Farmer,None,0,20,01702437654,Dharwad,Dharwad East
CR00734,Priya Gopal,50,Male,Software Engineer,Highway Gang,9,100,4177225605,Chikkaballapur,Chikkaballapur Rural
CR00735,Indrajit Gupta,47,Male,Driver,South Syndicate,2,63,00266502374,Chamarajanagar,Chamarajanagar East
CR00736,Oviya Suresh,65,Male,Driver,East Crew,9,100,7256862110,Haveri,Haveri Rural
CR00737,Nachiket Padmanabhan,33,Female,Driver,East Crew,11,100,0305690674,Mandya,Mandya Rural
CR00738,Vedika Butala,35,Male,Business,None,12,100,03928234143,Yadgir,Yadgir East
CR00739,Rushil Som,42,Male,Mechanic,South Syndicate,12,100,1892392312,Belagavi,Market
CR00740,Balvan Mahal,39,Female,Labour,Highway Gang,4,76,+912609310668,Chitradurga,Chitradurga East
CR00741,Vihaan Kapadia,61,Male,Business,South Syndicate,6,97,06708604145,Kolar,Kolar East
CR00742,Indali Sahota,59,Male,Software Engineer,Highway Gang,4,74,+915020005347,Vijayanagara,Vijayanagara Town
CR00743,Harrison Sankar,64,Male,Software Engineer,South Syndicate,3,77,+914755411082,Dakshina Kannada,Pandeshwar
CR00744,Jalsa Pathak,58,Female,Business,East Crew,13,100,9895343961,Hassan,Hassan East
CR00745,Kalpit Dara,57,Female,Doctor,South Syndicate,3,71,+919337118954,Bidar,Bidar Town
CR00746,Saksham Walla,40,Male,Unemployed,South Syndicate,7,100,2023684855,Mysuru,Nazarbad
CR00747,Jacob Sarin,48,Female,Business,Cyber Ring,4,84,+917688029424,Uttara Kannada,Uttara Kannada East
CR00748,Darsh Gupta,30,Male,Driver,Highway Gang,15,100,6788127868,Bengaluru Urban,Electronic City
CR00749,Nandini Magar,32,Male,Student,East Crew,0,42,+912029390878,Yadgir,Yadgir Rural
CR00750,Chavvi Kannan,49,Female,Electrician,Highway Gang,5,87,04812308340,Uttara Kannada,Uttara Kannada East
CR00751,Arunima Deol,56,Female,Unemployed,Highway Gang,13,100,00338105955,Shivamogga,Shivamogga Town
CR00752,Aishani Deol,54,Male,Labour,Cyber Ring,12,100,09450053424,Yadgir,Yadgir East
CR00753,Hitesh Raja,33,Female,Unemployed,Highway Gang,14,100,4983735439,Udupi,Udupi Town
CR00754,Nachiket Sehgal,21,Male,Teacher,Cyber Ring,12,100,+916527172722,Shivamogga,Shivamogga East
CR00755,Vritti Gole,47,Male,Mechanic,East Crew,12,100,4042269312,Shivamogga,Shivamogga Rural
CR00756,Pooja Korpal,47,Female,Farmer,Cyber Ring,1,51,06182091660,Vijayapura,Vijayapura Town
CR00757,Agastya Bassi,52,Male,Mechanic,Cyber Ring,5,93,+913142900185,Yadgir,Yadgir East
CR00758,Samaksh Dewan,47,Male,Electrician,Highway Gang,10,100,09724572308,Bagalkot,Bagalkot Town
CR00759,Jatin Bail,63,Male,Unemployed,East Crew,8,100,+911841862030,Raichur,Raichur East
CR00760,Prisha Rajan,58,Female,Farmer,None,2,48,+915436172131,Raichur,Raichur Rural
CR00761,Ishanvi Bose,20,Male,Software Engineer,Highway Gang,5,84,5151092268,Kodagu,Kodagu Rural
CR00762,Pratyush Sandal,21,Female,Teacher,South Syndicate,5,89,+914945147541,Bidar,Bidar East
CR00763,Manthan Din,25,Male,Student,East Crew,14,100,02677119642,Mandya,Mandya Town
CR00764,Ekantika Datta,49,Male,Doctor,None,8,99,+916557676952,Hassan,Hassan Rural
CR00765,Leela Sahota,48,Female,Mechanic,South Syndicate,7,100,7887883619,Kolar,Kolar East
CR00766,Theodore Chahal,33,Female,Doctor,Cyber Ring,2,62,+915030587210,Koppal,Koppal Town
CR00767,Jalsa Dewan,59,Female,Driver,South Syndicate,1,52,07286333021,Bengaluru Urban,Ashok Nagar
CR00768,Krishna Bal,37,Female,Farmer,Cyber Ring,1,49,6501917920,Udupi,Udupi East
CR00769,Jasmit Dhaliwal,61,Female,Doctor,Highway Gang,3,69,+913109622728,Bidar,Bidar Town
CR00770,Upma Sabharwal,23,Female,Software Engineer,Cyber Ring,14,100,5704120092,Davanagere,Davanagere Town
CR00771,Advay Randhawa,53,Male,Teacher,None,12,100,07849843624,Shivamogga,Shivamogga Rural
CR00772,Krishna Dass,39,Female,Labour,None,4,58,3690362891,Raichur,Raichur Rural
CR00773,Vansha Munshi,54,Male,Electrician,Cyber Ring,6,97,6620563411,Ballari,Ballari Town
CR00774,Janani Nayak,34,Female,Business,Cyber Ring,13,100,+913428113904,Uttara Kannada,Uttara Kannada Rural
CR00775,Saksham Bali,57,Male,Unemployed,Highway Gang,15,100,+914199097005,Tumakuru,Tumakuru Town
CR00776,Dayamai Anand,47,Male,Unemployed,None,6,74,04683565215,Bengaluru Rural,Bengaluru Rural Town
CR00777,Yahvi Chaudhuri,40,Male,Driver,Highway Gang,13,100,2096790422,Ballari,Ballari Rural
CR00778,Farhan Chander,37,Female,Labour,East Crew,9,100,3322889857,Tumakuru,Tumakuru Town
CR00779,Harinakshi Mannan,39,Female,Unemployed,None,0,20,09606339912,Mysuru,Lashkar
CR00780,Gunbir Aurora,61,Female,Electrician,South Syndicate,5,81,+914817175242,Dakshina Kannada,Barke
CR00781,Ati Patla,52,Female,Electrician,Highway Gang,4,85,01127474721,Bengaluru Urban,Whitefield
CR00782,Balveer Patla,64,Female,Labour,Cyber Ring,1,48,06692758955,Chitradurga,Chitradurga East
CR00783,Odika Toor,40,Male,Business,Cyber Ring,6,96,04090380214,Mysuru,Lashkar
CR00784,Nathan Rastogi,52,Male,Doctor,East Crew,0,52,+913671577871,Dharwad,Dharwad East
CR00785,Pranit Chokshi,63,Female,Unemployed,Cyber Ring,5,81,06365155973,Bengaluru Rural,Bengaluru Rural Rural
CR00786,Ishwar Mallick,33,Female,Electrician,Highway Gang,8,100,00827235909,Belagavi,Tilakwadi
CR00787,David Pathak,25,Female,Driver,Cyber Ring,6,94,07303064421,Chitradurga,Chitradurga Town
CR00788,Ekapad Mahal,48,Male,Student,Highway Gang,2,66,01476834201,Kalaburagi,Kalaburagi Town
CR00789,Hema Mishra,27,Male,Labour,Cyber Ring,15,100,+913567782659,Chitradurga,Chitradurga Rural
CR00790,Advaith Issac,63,Male,Driver,None,6,77,+919925502727,Hassan,Hassan Rural
CR00791,Ishaan Ray,39,Female,Driver,Cyber Ring,1,51,08072791033,Uttara Kannada,Uttara Kannada Town
CR00792,Ojas Purohit,58,Male,Software Engineer,None,9,98,+915339055044,Kolar,Kolar Rural
CR00793,Xalak Shah,38,Female,Police,East Crew,6,91,06558685127,Chikkamagaluru,Chikkamagaluru East
CR00794,Kashvi Goel,25,Male,Doctor,South Syndicate,8,100,9286646491,Bidar,Bidar Rural
CR00795,Hemang Chakraborty,38,Female,Business,Cyber Ring,6,97,0961798178,Davanagere,Davanagere East
CR00796,Bimala Salvi,57,Female,Labour,South Syndicate,7,100,+913786137157,Belagavi,Tilakwadi
CR00797,Meghana Amble,61,Male,Farmer,South Syndicate,1,60,03844446306,Bagalkot,Bagalkot Rural
CR00798,Alexander Bal,29,Female,Doctor,None,1,39,+915895529638,Gadag,Gadag Rural
CR00799,Reyansh Ramaswamy,63,Male,Electrician,East Crew,9,100,+919626265826,Udupi,Udupi Town
CR00800,Hardik Date,37,Female,Electrician,Highway Gang,2,63,1964825311,Bengaluru Rural,Bengaluru Rural Rural
CR00801,Rajeshri Apte,34,Female,Mechanic,South Syndicate,7,100,9209819602,Uttara Kannada,Uttara Kannada East
CR00802,Ishita Grover,19,Male,Electrician,East Crew,10,100,+913438364041,Hassan,Hassan Rural
CR00803,Arin Chauhan,36,Female,Doctor,Highway Gang,11,100,+917911244211,Hassan,Hassan Town
CR00804,Janaki Johal,24,Female,Labour,Highway Gang,3,66,01706171366,Udupi,Udupi East
CR00805,Shravya Dyal,55,Female,Student,Cyber Ring,9,100,+914029901557,Hassan,Hassan Rural
CR00806,Nathan Vig,39,Male,Unemployed,Highway Gang,5,93,4139080882,Dharwad,Dharwad Town
CR00807,Janya Contractor,52,Male,Business,Cyber Ring,13,100,+910523124473,Tumakuru,Tumakuru Rural
CR00808,Ijaya Menon,47,Female,Labour,None,15,100,07686342346,Kolar,Kolar East
CR00809,Devika Gandhi,22,Male,Police,South Syndicate,14,100,+917676945919,Chitradurga,Chitradurga Rural
CR00810,Pushti Iyengar,21,Male,Student,Highway Gang,10,100,5517208496,Mandya,Mandya East
CR00811,Indira Rao,46,Female,Mechanic,South Syndicate,0,54,+911256253135,Mysuru,Vijayanagar
CR00812,Maanav Murthy,37,Female,Mechanic,South Syndicate,6,99,+910505379538,Mysuru,Lashkar
CR00813,Lekha Mander,50,Female,Business,Cyber Ring,2,65,3831849196,Bagalkot,Bagalkot East
CR00814,Eesha Nagarajan,21,Male,Unemployed,East Crew,1,59,+913077046117,Vijayapura,Vijayapura East
CR00815,Eta Rajagopal,33,Female,Unemployed,East Crew,3,76,+919040907426,Uttara Kannada,Uttara Kannada Town
CR00816,Balveer Nazareth,45,Male,Police,Highway Gang,10,100,0171644556,Dharwad,Dharwad Rural
CR00817,Dhriti Tak,42,Female,Mechanic,South Syndicate,15,100,0647715910,Chamarajanagar,Chamarajanagar East
CR00818,Champak Anne,22,Male,Business,South Syndicate,9,100,+911563213580,Bengaluru Urban,Ashok Nagar
CR00819,Aashi Bassi,59,Female,Electrician,South Syndicate,13,100,+910414596422,Belagavi,Camp
CR00820,Jagdish Date,53,Female,Mechanic,Highway Gang,5,91,02967188397,Kalaburagi,Kalaburagi Rural
CR00821,Avni Nagy,18,Female,Unemployed,South Syndicate,7,100,7314415833,Gadag,Gadag East
CR00822,Falan Talwar,54,Female,Driver,Highway Gang,8,100,+913037637153,Vijayanagara,Vijayanagara East
CR00823,Devika Setty,48,Male,Business,East Crew,15,100,2812356798,Bengaluru Rural,Bengaluru Rural East
CR00824,Mugdha Guha,57,Male,Student,Cyber Ring,14,100,+914624912711,Belagavi,Market
CR00825,Amol Sharma,37,Male,Software Engineer,Cyber Ring,2,56,+914078754181,Tumakuru,Tumakuru East
CR00826,Raagini Kala,54,Female,Mechanic,Highway Gang,15,100,+916868507451,Kalaburagi,Kalaburagi Rural
CR00827,Lavanya Sami,62,Female,Unemployed,East Crew,9,100,+914362948978,Bidar,Bidar Town
CR00828,Ikbal Bedi,54,Male,Police,Highway Gang,1,57,3131009431,Kolar,Kolar Town
CR00829,Anya Kara,26,Male,Teacher,East Crew,0,48,6661347323,Haveri,Haveri Town
CR00830,Bhavna Mani,34,Male,Unemployed,Cyber Ring,4,75,0128974325,Chikkamagaluru,Chikkamagaluru Rural
CR00831,Ojas Grover,60,Female,Software Engineer,Cyber Ring,5,85,07207650241,Ramanagara,Ramanagara Town
CR00832,Aditya Pandey,51,Male,Software Engineer,South Syndicate,8,100,09073710094,Haveri,Haveri Town
CR00833,Yahvi Ganesh,49,Female,Mechanic,Cyber Ring,4,79,+911145775847,Vijayanagara,Vijayanagara Town
CR00834,Janya Shanker,64,Female,Driver,South Syndicate,14,100,+915458971480,Chamarajanagar,Chamarajanagar East
CR00835,Nirja Kannan,43,Female,Teacher,None,3,59,2570396531,Bidar,Bidar Rural
CR00836,Krishna Chokshi,48,Female,Business,Highway Gang,7,100,08782455696,Mysuru,Devaraja
CR00837,Dayamai Halder,42,Female,Labour,East Crew,0,41,+919859167954,Vijayanagara,Vijayanagara Rural
CR00838,Abhiram Tara,45,Female,Software Engineer,Cyber Ring,3,72,2728498247,Mandya,Mandya Rural
CR00839,Dhruv Menon,55,Female,Electrician,None,8,91,+917034910740,Chikkamagaluru,Chikkamagaluru East
CR00840,Indira Acharya,62,Male,Software Engineer,Cyber Ring,6,88,+914254882142,Dakshina Kannada,Kankanady
CR00841,Rachana Buch,24,Male,Police,None,0,34,03075366614,Bagalkot,Bagalkot Rural
CR00842,Deepa Ghose,34,Male,Driver,South Syndicate,11,100,6592342683,Ramanagara,Ramanagara Rural
CR00843,Dalaja Chada,60,Male,Doctor,None,2,39,09782661287,Yadgir,Yadgir East
CR00844,Yahvi Parmar,26,Female,Police,None,3,49,05676670806,Uttara Kannada,Uttara Kannada East
CR00845,Logan Mittal,47,Male,Police,South Syndicate,3,78,+919852989406,Chikkamagaluru,Chikkamagaluru Rural
CR00846,Neha Ahuja,38,Female,Business,Highway Gang,8,100,08701041591,Raichur,Raichur East
CR00847,Vasatika Narula,39,Male,Teacher,None,8,92,+911980382872,Dharwad,Dharwad Rural
CR00848,Mohammed Mitra,30,Female,Business,Highway Gang,5,95,4079311029,Belagavi,Tilakwadi
CR00849,Zinal Chatterjee,31,Male,Electrician,South Syndicate,3,72,+913170876014,Kodagu,Kodagu Rural
CR00850,Veda Gour,54,Female,Electrician,None,3,44,+918497916202,Belagavi,Camp
CR00851,Wridesh Garde,18,Male,Police,South Syndicate,15,100,8377441975,Mandya,Mandya East
CR00852,Mahika Raju,43,Male,Labour,South Syndicate,8,100,1766204719,Raichur,Raichur Rural
CR00853,Advay Mitter,22,Male,Driver,Highway Gang,15,100,+919705277402,Dharwad,Dharwad East
CR00854,Xiti Thakur,40,Female,Police,None,15,100,+915868122595,Kolar,Kolar East
CR00855,Logan Mallick,23,Female,Labour,None,12,100,4617679298,Mandya,Mandya East
CR00856,Kai Naik,59,Male,Business,Highway Gang,2,57,9599610023,Shivamogga,Shivamogga Rural
CR00857,Hitesh Tata,42,Male,Police,South Syndicate,12,100,7533126610,Chitradurga,Chitradurga East
CR00858,Ishwar Barad,46,Male,Business,None,15,100,1759025176,Vijayapura,Vijayapura East
CR00859,Ryan Hayre,33,Female,Mechanic,None,6,70,07743326831,Ramanagara,Ramanagara East
CR00860,Gopal Jani,19,Male,Software Engineer,Highway Gang,9,100,+912056981528,Kodagu,Kodagu Rural
CR00861,Ranveer Johal,31,Female,Police,None,10,100,7855982176,Dharwad,Dharwad Town
CR00862,Ekavir Brar,27,Female,Police,None,7,76,+918411730985,Ballari,Ballari East
CR00863,Udarsh Mann,62,Male,Driver,Cyber Ring,15,100,06512418938,Ballari,Ballari Town
CR00864,Mohini Bhandari,47,Male,Doctor,East Crew,1,50,1974005643,Udupi,Udupi Town
CR00865,Daniel Dewan,57,Male,Farmer,None,3,50,+918503719905,Haveri,Haveri East
CR00866,Omaja Buch,61,Female,Software Engineer,East Crew,13,100,7240107835,Tumakuru,Tumakuru East
CR00867,Vanya Mitter,20,Male,Software Engineer,East Crew,4,74,+910003896087,Udupi,Udupi Town
CR00868,Lila Purohit,28,Female,Labour,East Crew,3,69,2668217195,Bengaluru Urban,Madiwala
CR00869,Rishi Oza,20,Male,Farmer,South Syndicate,14,100,00331903689,Vijayanagara,Vijayanagara East
CR00870,Alexander Krish,23,Male,Driver,None,5,65,+911027240559,Vijayapura,Vijayapura Rural
CR00871,Brinda Dayal,44,Female,Unemployed,Cyber Ring,2,60,6711148375,Vijayapura,Vijayapura Rural
CR00872,Sachi Mittal,51,Female,Mechanic,South Syndicate,6,95,08438458810,Mandya,Mandya Rural
CR00873,Nirja Sunder,56,Male,Unemployed,Cyber Ring,5,95,01328348315,Raichur,Raichur Town
CR00874,Balendra Keer,18,Male,Student,East Crew,2,59,7710704496,Davanagere,Davanagere Rural
CR00875,Frado Bhasin,50,Male,Electrician,Cyber Ring,3,70,09670667033,Davanagere,Davanagere East
CR00876,Qarin Sankar,27,Female,Electrician,None,8,89,0408509549,Chamarajanagar,Chamarajanagar Town
CR00877,Ayaan Om,41,Female,Student,None,5,73,9660186487,Ballari,Ballari East
CR00878,Zilmil Lad,20,Male,Unemployed,East Crew,8,100,+916732044138,Koppal,Koppal Rural
CR00879,Geetika Rana,49,Male,Farmer,South Syndicate,5,87,+919454490149,Tumakuru,Tumakuru Town
CR00880,Aishani Gola,44,Male,Unemployed,Cyber Ring,14,100,07070705783,Kolar,Kolar Rural
CR00881,Dalbir Buch,24,Male,Unemployed,None,7,89,09851724447,Dakshina Kannada,Pandeshwar
CR00882,Utkarsh Ghosh,22,Female,Doctor,Highway Gang,6,100,+919031028795,Vijayapura,Vijayapura Town
CR00883,Vedant Bhat,57,Female,Business,Highway Gang,1,60,4405809351,Bengaluru Urban,Indiranagar
CR00884,Yashica Sawhney,30,Female,Teacher,South Syndicate,11,100,+918133595616,Hassan,Hassan East
CR00885,Luke Bakshi,54,Male,Teacher,South Syndicate,10,100,09556574902,Ballari,Ballari East
CR00886,Chaitanya Mannan,28,Female,Student,Highway Gang,3,73,+919019358895,Hassan,Hassan Rural
CR00887,Kritika Bali,54,Male,Farmer,Cyber Ring,5,93,2611398986,Vijayapura,Vijayapura Town
CR00888,Charan Sodhi,47,Female,Driver,South Syndicate,15,100,8875439435,Kolar,Kolar Rural
CR00889,Janaki Kashyap,55,Male,Doctor,South Syndicate,7,100,05137651588,Dakshina Kannada,Barke
CR00890,Janaki Sule,48,Male,Mechanic,Highway Gang,0,52,3763928369,Ballari,Ballari Town
CR00891,Abha Mangat,33,Male,Labour,None,15,100,05116682973,Hassan,Hassan Rural
CR00892,Sudiksha Aurora,36,Male,Police,South Syndicate,13,100,+911648712060,Bengaluru Urban,Koramangala
CR00893,Elijah Deo,28,Female,Doctor,Highway Gang,0,40,8665268341,Mysuru,Lashkar
CR00894,Gayathri Chokshi,63,Female,Business,Highway Gang,14,100,0157676472,Shivamogga,Shivamogga Town
CR00895,Yashodhara Chacko,22,Female,Unemployed,None,14,100,+910995765728,Uttara Kannada,Uttara Kannada East
CR00896,Gunbir Kata,62,Male,Police,East Crew,1,50,07509889864,Gadag,Gadag Rural
CR00897,Leena Nagar,41,Male,Farmer,None,10,100,+912036849951,Kalaburagi,Kalaburagi East
CR00898,Bhavani Gandhi,41,Female,Business,Highway Gang,11,100,+914477324491,Koppal,Koppal Town
CR00899,Arya Dhaliwal,52,Male,Police,South Syndicate,6,100,+913882090883,Dakshina Kannada,Pandeshwar
CR00900,Vrinda Bal,35,Female,Teacher,South Syndicate,6,89,03496782741,Dakshina Kannada,Barke
CR00901,Sai Sankaran,49,Male,Electrician,East Crew,2,65,04124151315,Davanagere,Davanagere Rural
CR00902,Yashica Nayak,62,Male,Student,Cyber Ring,14,100,07815061853,Davanagere,Davanagere East
CR00903,Abhiram Korpal,36,Male,Farmer,None,2,41,+919633472727,Dharwad,Dharwad Town
CR00904,Karan Issac,49,Male,Student,None,8,84,1830617893,Raichur,Raichur Town
CR00905,Balvan Sahota,48,Female,Mechanic,Highway Gang,9,100,4969357824,Mysuru,Vijayanagar
CR00906,Brinda Sundaram,19,Male,Labour,East Crew,0,50,06958741314,Chamarajanagar,Chamarajanagar Town
CR00907,Sanya Nanda,59,Female,Electrician,Cyber Ring,13,100,+916127515627,Dakshina Kannada,Kankanady
CR00908,Nisha Keer,37,Male,Teacher,East Crew,14,100,+914483608545,Kolar,Kolar Town
CR00909,Mahika Sathe,27,Female,Teacher,East Crew,15,100,06404735047,Chitradurga,Chitradurga Town
CR00910,Timothy Ganesan,63,Female,Business,Cyber Ring,5,85,3199529800,Vijayanagara,Vijayanagara Town
CR00911,Gautam Nath,20,Female,Doctor,South Syndicate,4,76,08108358328,Chikkaballapur,Chikkaballapur Town
CR00912,Veer Mannan,31,Male,Police,East Crew,14,100,+915563830008,Davanagere,Davanagere Town
CR00913,Yachana Rao,52,Male,Labour,South Syndicate,11,100,00244033041,Davanagere,Davanagere Rural
CR00914,Nandini Deep,27,Female,Software Engineer,None,3,48,4111860089,Dharwad,Dharwad Rural
CR00915,Girish Raman,59,Female,Electrician,Cyber Ring,0,49,+919456804473,Kalaburagi,Kalaburagi Rural
CR00916,Aishani Sinha,39,Male,Unemployed,Cyber Ring,4,87,04613684748,Ramanagara,Ramanagara Rural
CR00917,Lavanya Badal,37,Male,Mechanic,South Syndicate,1,55,06581739063,Mysuru,Nazarbad
CR00918,Kala Sood,21,Male,Doctor,East Crew,14,100,1452118237,Belagavi,Tilakwadi
CR00919,Fiyaz Dhaliwal,52,Female,Police,South Syndicate,8,100,09789307464,Bagalkot,Bagalkot Town
